TEST CONDITIONS,,,,,,RESULTS,,,,,,,,,
Test Time (s),PTDC (%),Task Type,Priority Scheme,RDC (%),,Avg. Lat. (ms),Max. Lat. (ms),Avg. Throughput (bps),PER (%),Max. Turnaround Time (ms),Avg. Turnaround Time (ms),Max. Wait Time (ms),Avg. Wait Time (ms),Avg.  Exec. Time (ms),Num. Rcv. Pckts.
180,50,1,3,15,,,,,,,,,,,
180,25,1,3,15,,,,,,,,,,,
180,5,1,3,15,,131,333,1767,0,2.387,2.049,0.349,0.011,2.038,994
180,50,2,3,15,,,,,,,,,,,
180,25,2,3,15,,,,,,,,,,,
180,5,2,3,15,,140,263,1621,0,10.194,10.012,0.204,0.022,9.99,912
180,50,3,3,15,,,,,,,,,,,
180,25,3,3,15,,,,,,,,,,,
180,5,3,3,15,,132,397,1712,0,50.14,49.478,0.702,0.04,49.438,963
,,,,,,,,,,,,,,,
180,50,1,1,20,,,,,,,,,,,
180,25,1,1,20,,,,,,,,,,,
180,5,1,1,20,,81,135,2446,0,3.634,2.126,1.603,0.095,2.031,1376
180,50,2,1,20,,,,,,,,,,,
180,25,2,1,20,,,,,,,,,,,
180,5,2,1,20,,81,139,2446,0,12.782,10.407,2.771,0.396,10.011,1376
180,50,3,1,20,,,,,,,,,,,
180,25,3,1,20,,,,,,,,,,,
180,5,3,1,20,,81,134,2444,0,54.856,51.469,5.315,1.928,49.541,1375
180,50,1,2,20,,,,,,,,,,,
180,25,1,2,20,,,,,,,,,,,
180,5,1,2,20,,82,166,2437,0,3.227,2.142,1.19,0.105,2.037,1372
180,50,2,2,20,,,,,,,,,,,
180,25,2,2,20,,,,,,,,,,,
180,5,2,2,20,,82,139,2444,0,11.972,10.392,1.957,0.377,10.015,1375
180,50,3,2,20,,,,,,,,,,,
180,25,3,2,20,,,,,,,,,,,
180,5,3,2,20,,81,133,2446,0,53.795,51.4,4.241,1.846,49.554,1376
180,50,1,3,20,,,,,,,,,,,
180,25,1,3,20,,,,,,,,,,,
180,5,1,3,20,,85,169,2377,0,2.398,2.049,0.361,0.012,2.037,1337
180,50,2,3,20,,,,,,,,,,,
180,25,2,3,20,,,,,,,,,,,
180,5,2,3,20,,96,197,2195,0,10.191,10.015,0.199,0.023,9.992,1235
180,50,3,3,20,,,,,,,,,,,
180,25,3,3,20,,,,,,,,,,,
180,5,3,3,20,,91,2239,2138,0,50.142,49.473,0.705,0.036,49.437,1203
